0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:27:04 +0900] "GET /ClientTest/css/ex12_background.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:27:08 +0900] "GET /ClientTest/css/ex12_background.htm HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:27:19 +0900] "GET /ClientTest/css/ex12_background.htm HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:29:46 +0900] "GET /ClientTest/css/ex12_background.htm HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:30:33 +0900] "GET /ClientTest/css/ex12_background.htm HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:35:56 +0900] "GET /ClientTest/css/ex12_background.htm HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:37:15 +0900] "GET /ClientTest/css/ex12_background.htm HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:38:52 +0900] "GET /ClientTest/css/ex12_background.htm HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:39:08 +0900] "GET /ClientTest/css/ex12_background.htm HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:40:32 +0900] "GET /ClientTest/css/ex12_background.htm HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:41:45 +0900] "GET /ClientTest/css/ex12_background.htm HTTP/1.1" 200 1938
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:41:48 +0900] "GET /ClientTest/css/ex12_background.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:45:13 +0900] "GET /ClientTest/css/ex12_background.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:45:16 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:45:19 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:46:47 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:46:56 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:47:05 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:47:05 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:47:05 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:47:06 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:47:06 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:47:06 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:47:09 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:47:09 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:47:09 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:47:19 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:47:19 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:47:20 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:47:20 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:47:56 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 200 2643
0:0:0:0:0:0:0:1 - - [29/Apr/2019:10:48:35 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 200 2643
0:0:0:0:0:0:0:1 - - [29/Apr/2019:11:05:48 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [29/Apr/2019:11:08:01 +0900] "GET /ClientTest/css/ex13_text.htm HTTP/1.1" 200 3016
